"ID_Volunteer" "Activity" "tBodyAccMeanX" "tBodyAccMeanY" "tBodyAccMeanZ" "tBodyAccStdX" "tBodyAccStdY" "tBodyAccStdZ" "tBodyGyroMeanX" "tBodyGyroMeanY" "tBodyGyroMeanZ" "tBodyGyroStdX" "tBodyGyroStdY" "tBodyGyroStdZ" "avg_tBodyAccMeanX" "avg_tBodyAccMeanY" "avg_tBodyAccMeanZ" "avg_tBodyAccStdX" "avg_tBodyAccStdY" "avg_tBodyAccStdZ" "avg_tBodyGyroMeanX" "avg_tBodyGyroMeanZ" "avg_tBodyGyroStdX" "avg_tBodyGyroStdY" "avg_tBodyGyroStdZ"
2 "STANDING" 0.25717778 -0.02328523 -0.014653762 -0.938404 -0.92009078 -0.66768331 0.11997616 -0.091792335 0.18962854 -0.88308911 -0.8161636 -0.94088123 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.28602671 -0.013163359 -0.11908252 -0.97541469 -0.9674579 -0.94495817 -0.0015524629 -0.18729119 0.18070522 -0.92556647 -0.9295992 -0.96758097 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27548482 -0.02605042 -0.11815167 -0.99381904 -0.96992551 -0.96274798 -0.048212671 -0.16627974 0.15417437 -0.97298823 -0.97851062 -0.97564834 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27029822 -0.032613869 -0.11752018 -0.99474279 -0.97326761 -0.96709068 -0.056641577 -0.12601846 0.11833718 -0.96779046 -0.9751338 -0.9632327 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27483295 -0.027847788 -0.12952716 -0.99385248 -0.96744548 -0.97829499 -0.059992128 -0.08472343 0.078659262 -0.97465605 -0.97795105 -0.96762872 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27921995 -0.018620399 -0.11390197 -0.99445523 -0.97041688 -0.96531629 -0.039697949 -0.066828493 0.070547316 -0.97987841 -0.97646279 -0.96346168 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27974586 -0.018271026 -0.10399988 -0.99581919 -0.97635361 -0.97772468 -0.03287449 -0.065186851 0.080700108 -0.98963172 -0.9838623 -0.97276516 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27460055 -0.02503513 -0.11683085 -0.99559442 -0.98206892 -0.98526237 -0.028869854 -0.068346001 0.087116675 -0.99434551 -0.99243952 -0.98984746 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.27252874 -0.020954013 -0.11447249 -0.99678413 -0.97590627 -0.98659699 -0.024364328 -0.066695221 0.077032498 -0.99678549 -0.99530106 -0.99298656 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
2 "STANDING" 0.2757457 -0.010371994 -0.09977589 -0.99837313 -0.98693291 -0.9910219 -0.022462359 -0.068363863 0.076694399 -0.99639305 -0.99343897 -0.99089631 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.0238623875712963 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852
